Epoch,Training Loss,Validation Loss,Learning Rate
1,1.0115020811557769,0.988201642036438,0.0001
2,1.0592550456523895,1.0034360766410828,0.0001
3,0.9178211033344269,0.9501635789871216,0.0001
4,0.9809351742267609,0.9252059936523438,0.0001
5,1.0127329230308533,1.012214195728302,0.0001
6,0.9684359610080719,1.0477611303329468,0.0001
7,1.0745548903942108,1.0559069395065308,0.0001
8,0.932552695274353,1.0732228755950928,0.0001
9,1.0292292892932893,0.9787787795066833,0.0001
10,1.0180082440376281,0.9897082090377808,0.0001
