run,psnr,ssim,ber,accuracy
1,15.315480636922764,0.5253699,0.5625,0.4375
2,13.734767117457235,0.5191932,0.4375,0.5625
3,17.661744905991814,0.47714543,0.5390625,0.4609375
4,14.958634477273085,0.63454294,0.5625,0.4375
5,15.215726819127122,0.5698278,0.515625,0.484375
6,19.42229086444603,0.8669099,0.5234375,0.4765625
7,20.08712238286494,0.8637093,0.6015625,0.3984375
8,13.557531979557387,0.571105,0.46875,0.53125
9,17.946555956635212,0.51398134,0.546875,0.453125
10,22.035034506273583,0.6352007,0.4765625,0.5234375
11,10.938299803578635,0.36732772,0.4609375,0.5390625
12,18.05413656088076,0.58788353,0.5234375,0.4765625
13,15.451198184206252,0.5749319,0.46875,0.53125
14,18.67361467081286,0.50517386,0.484375,0.515625
15,17.54100175218776,0.53183216,0.4140625,0.5859375
16,10.146057964981184,0.40161872,0.484375,0.515625
17,15.307708988570676,0.2867043,0.4140625,0.5859375
18,16.502497401854615,0.6865034,0.5390625,0.4609375
19,13.791673785888644,0.38812956,0.546875,0.453125
20,13.98671104692908,0.52756166,0.484375,0.515625
21,18.430120998175642,0.7189273,0.4921875,0.5078125
22,15.773196791048118,0.4853513,0.4921875,0.5078125
23,17.178022205344732,0.6431762,0.5390625,0.4609375
24,17.678848106635584,0.50049275,0.4765625,0.5234375
25,11.064430703735649,0.31222346,0.5546875,0.4453125
26,21.67488691590968,0.6366543,0.515625,0.484375
27,12.36033142005094,0.41387972,0.453125,0.546875
28,17.419560542856843,0.63094354,0.4140625,0.5859375
29,23.040806401603604,0.7769181,0.53125,0.46875
30,15.402101744060722,0.4120865,0.4453125,0.5546875
